Start log
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
wsg50, (wsg50Grasp(pen),true,0), WINNER(wsg50Grasp(pen),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
