Start log
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
wsg50, (wsg50Grasp(brick22),true,0), WINNER(wsg50Grasp(brick22),0)
iiwa, (iiwaExtract(brick22,brick21.over),true,0), WINNER(iiwaExtract(brick22,brick21.over),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
